ulasan_asli;kategori;preprocessed_text;tokens_count
kemarin saat saya berkunjung, pelayan sangat cuek dan tidak peduli sama pelanggan, saya harus memanggil berkali-kali baru ada yang menghampiri meja saya dan pesan chicken katsu tapi dikasih chicken fillet, waktu saya komplain pelayan bilang habis padahal di menu tidak ada keterangan habis;pelayanan;kemarin kunjung layan sangat cuek tidak peduli sama langgan panggil kali kali baru hampir meja pesan chicken katsu kasih chicken fillet waktu komplain layan bilang habis padahal menu tidak terang habis;31
beberapa hari lalu saat berkunjung, tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata. sangat sulit bagi mahasiswa yang ingin nongkrong tapi budget terbatas;harga;beberapa hari lalu kunjung tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata sangat sulit mahasiswa nongkrong budget batas;22
saat saya makan siang di sini, pelayan bermuka masam saat saya bertanya tentang menu yang tersedia, padahal saya hanya ingin tahu rekomendasi menu. sikap seperti ini membuat pelanggan tidak nyaman berkunjung;pelayanan;makan siang sini layan muka masam tanya menu sedia padahal tahu rekomendasi menu sikap buat langgan tidak nyaman kunjung;19
harga naik drastis dibanding bulan lalu tanpa ada pemberitahuan atau penjelasan apapun ke pelanggan, ini sangat mengecewakan. tidak hanya itu, harga menu di kafe meine welt tidak masuk akal untuk kafe yang ada di daerah kampus. saya harap pihak kafe tidak mengabaikan keluhan pelanggan;harga;harga naik drastis banding bulan lalu tanpa pemberitahuan jelas apa langgan sangat kecewa tidak harga menu kafe meine welt tidak masuk akal kafe daerah kampus harap pihak kafe tidak abai keluh langgan;32
kafe meine welt amat jarang mengadakan promo atau diskon untuk pelanggannya. ditambah lagi harga snack di kafe meine welt terlalu mahal dibandingkan dengan kafe lain di sekitar sini yang menjual. saya harap pihak kafe tidak mengabaikan keluhan pelanggan;harga;kafe meine welt jarang ada promo diskon langgan tambah harga snack kafe meine welt terlalu mahal banding kafe sini jual harap pihak kafe tidak abai keluh langgan;27
waktu saya mau mengerjakan tugas di sini, toilet kafe meine welt kurang bersih dan berbau tidak sedap, sabun cuci tangan juga habis tidak diisi ulang. kebersihan toilet sangat penting karena mencerminkan standar kebersihan kafe;suasana;waktu mau kerja tugas sini toilet kafe meine welt kurang bersih bau tidak sedap sabun cuci tangan habis tidak isi ulang bersih toilet sangat penting cermin standar bersih kafe;29
pesanan makanan saya datangnya sangat lama padahal teman saya yang pesan bersamaan sudah dapat duluan. sepertinya ada masalah dengan urutan pengerjaan pesanan di dapur kafe ini. semoga kritik saya ini bisa menjadi bahan evaluasi;pelayanan;pesan makan datang sangat lama padahal teman pesan sama duluan seperti masalah urut kerja pesan dapur kafe moga kritik jadi bahan evaluasi;22
harga lavanilla di sini kemahalan padahal rasanya cuma gula dan susu doang tidak ada yang spesial, kafe sebelah bisa memberikan minuman yang lebih enak dengan harga lebih terjangkau. hal seperti ini tidak seharusnya terjadi di kafe;harga;harga lavanilla sini mahal padahal rasa cuma gula susu tidak spesial kafe belah beri minum lebih enak harga lebih jangkau tidak jadi kafe;23
tidak ada paket hemat atau menu khusus untuk mahasiswa di kafe ini, padahal target pasar utamanya adalah mahasiswa. yang lebih parah lagi harga chicken katsu naik signifikan tapi porsinya malah terasa semakin mengecil dari sebelumnya, ini sangat tidak fair bagi pelanggan;harga;tidak paket hemat menu khusus mahasiswa kafe padahal target pasar utama mahasiswa lebih parah harga chicken katsu naik signifikan porsi malah asa makin kecil belum sangat tidak fair langgan;29
harga beef teriyaki di kafe ini sangat tidak worth it untuk kualitas daging dan porsi yang diberikan, dagingnya sedikit dan keras. ditambah lagi tidak ada program diskon atau reward untuk pelanggan setia yang sudah terus-terusan berkunjung ke kafe meine welt, padahal saya sudah berkali-kali datang dan membeli. saya sangat kecewa dengan pengalaman ini;harga;harga beef teriyaki kafe sangat tidak padan it kualitas daging porsi beri daging sedikit keras tambah tidak program diskon reward langgan setia terus terus kunjung kafe meine welt padahal kali kali datang beli sangat kecewa alam;36
hari ini pengalaman saya sangat buruk karena wastafel di toilet kafe kotor dan terlihat tersumbat, airnya menggenang dan menimbulkan bau. fasilitas seperti ini sangat penting untuk dijaga kebersihannya demi kenyamanan pelanggan. sangat tidak profesional menurut saya;suasana;hari alam sangat buruk wastafel toilet kafe kotor lihat sumbat air genang timbul bau fasilitas sangat penting jaga bersih nyaman langgan sangat tidak profesional;24
terakhir kali saya berkunjung, pelayan sangat cuek dan tidak peduli sama pelanggan, saya harus memanggil berkali-kali baru ada yang menghampiri meja saya. seharusnya mereka lebih proaktif memperhatikan tamu;pelayanan;akhir kali kunjung layan sangat cuek tidak peduli sama langgan panggil kali kali baru hampir meja lebih proaktif perhati tamu;20
tidak rela bayar semahal ini untuk kualitas makanan dan pelayanan seperti yang saya terima hari ini, mending ke kafe lain yang lebih murah tapi kualitasnya jauh lebih memuaskan. ini membuat pengalaman makan saya jadi tidak menyenangkan;harga;tidak rela bayar mahal kualitas makan layan terima hari mending kafe lebih murah kualitas jauh lebih muas buat alam makan jadi tidak senang;23
waktu saya nongkrong di kafe ini, kenaikan harga di kafe meine welt tidak diimbangi dengan peningkatan rasa dan kualitas makanan minumannya, sangat mengecewakan. pelanggan bayar lebih tapi tidak mendapat nilai lebih. sangat tidak profesional menurut saya;harga;waktu nongkrong kafe naik harga kafe meine welt tidak imbang tingkat rasa kualitas makan minum sangat kecewa langgan bayar lebih tidak dapat nilai lebih sangat tidak profesional;27
kafe meine welt sangat jarang mengadakan promo atau diskon untuk pelanggannya, padahal kafe kafe lain di sekitar sini selalu memberikan promo menarik yang membuat pelanggan senang. hal ini sangat mengganggu kenyamanan saya;harga;kafe meine welt sangat jarang ada promo diskon langgan padahal kafe kafe sini selalu beri promo tarik buat langgan senang sangat ganggu nyaman;23
harga makanan di kafe meine welt naik terus setiap bulan tanpa ada peningkatan kualitas sama sekali, pelanggan lama seperti saya sangat merasakan kenaikan harga yang terus menerus ini. ini membuat pengalaman makan saya jadi tidak menyenangkan;harga;harga makan kafe meine welt naik terus bulan tanpa tingkat kualitas sama sekali langgan lama sangat rasa naik harga terus terus buat alam makan jadi tidak senang;27
saat saya makan siang di sini, seharusnya kafe meine welt menyediakan promo buy one get one atau paket combo yang lebih murah untuk menarik pelanggan, kafe lain sudah melakukan ini dan pelanggannya sangat banyak. mohon segera diperbaiki demi kenyamanan semua pelanggan;harga;makan siang sini kafe meine welt sedia promo buy one get one paket combo lebih murah tarik langgan kafe laku langgan sangat banyak mohon segera baik nyaman semua langgan;29
kafe lain di sekitar sini sering mengadakan promo dan diskon menarik tapi meine welt tidak pernah sama sekali, ini membuat saya lebih memilih kafe lain yang lebih menghargai pelanggan. hal ini sangat mengganggu kenyamanan saya;harga;kafe sini sering ada promo diskon tarik meine welt tidak pernah sama sekali buat lebih pilih kafe lebih harga langgan sangat ganggu nyaman;23
terakhir kali saya berkunjung, piring yang dipakai untuk menyajikan makanan saya masih ada sisa makanan dari pelanggan sebelumnya, sangat tidak higienis dan membuat selera makan saya hilang. ditambah lagi ayam kalasan yang saya pesan dagingnya terlalu keras dan alot, bumbunya juga kurang meresap;produk;akhir kali kunjung piring pakai saji makan sisa makan langgan belum sangat tidak higienis buat selera makan hilang tambah ayam kalas pesan daging terlalu keras alot bumbu kurang resap;29
pagi ini waktu saya sarapan di kafe, harga makanan dan minuman di kafe ini tidak sesuai dengan kualitas yang diberikan, terlalu mahal untuk rasa dan porsi yang biasa saja. sangat mengecewakan dari segi value for money. saya sangat kecewa dengan pengalaman ini;harga;pagi waktu sarap kafe harga makan minum kafe tidak sesuai kualitas beri terlalu mahal rasa porsi biasa sangat kecewa segi value for money sangat kecewa alam;26
harga premium tapi kualitas pelayanan dan makanannya standar saja tidak ada yang istimewa, sangat mengecewakan. ekspektasi saya jauh lebih tinggi untuk kafe dengan harga setinggi ini. saya terpaksa memberi keluhan karena sudah kesal;harga;harga premium kualitas layan makan standar tidak istimewa sangat kecewa ekspektasi jauh lebih tinggi kafe harga setinggi paksa beri keluh kesal;21
harga menu di kafe meine welt tidak masuk akal untuk kafe yang ada di daerah kampus, seharusnya menyesuaikan dengan daya beli mahasiswa yang menjadi pelanggan utama kafe ini. saya jadi berpikir dua kali untuk datang lagi;harga;harga menu kafe meine welt tidak masuk akal kafe daerah kampus sesuai daya beli mahasiswa jadi langgan utama kafe jadi pikir kali datang;23
waktu saya nongkrong di kafe ini, dengan harga segini ekspektasi saya jauh lebih tinggi dari apa yang saya dapatkan di kafe meine welt, mulai. tidak hanya itu, tidak ada paket hemat atau menu khusus untuk mahasiswa di kafe ini, padahal target pasar utamanya adalah mahasiswa;harga;waktu nongkrong kafe harga gin ekspektasi jauh lebih tinggi apa dapat kafe meine welt mulai tidak tidak paket hemat menu khusus mahasiswa kafe padahal target pasar utama mahasiswa;28
seharusnya ada diskon khusus untuk pelajar dan mahasiswa yang menunjukkan kartu identitas kampus, ini bisa menarik lebih banyak pelanggan mahasiswa dan meningkatkan loyalitas mereka. hal ini sangat mengganggu kenyamanan saya;harga;diskon khusus ajar mahasiswa tunjuk kartu identitas kampus tarik lebih banyak langgan mahasiswa tingkat loyalitas sangat ganggu nyaman;18
waktu saya nongkrong di kafe ini, tidak rela bayar semahal ini untuk kualitas makanan dan pelayanan seperti yang saya terima hari ini, mending ke kafe lain yang lebih murah tapi kualitasnya jauh lebih memuaskan;harga;waktu nongkrong kafe tidak rela bayar mahal kualitas makan layan terima hari mending kafe lebih murah kualitas jauh lebih muas;20
saya kecewa karena pesanan saya baru datang setelah menunggu 40 menit lebih, padahal saya hanya memesan minuman saja.. seharusnya tidak selama itu untuk membuat satu gelas kopi.. semoga manajemen segera menindaklanjuti masalah ini;pelayanan;kecewa pesan baru datang tunggu menit lebih padahal mes minum tidak lama buat satu gelas kopi moga manajemen segera menindaklanjuti masalah;21
saat saya makan siang di sini, harga makanan dan minuman di kafe ini tidak sesuai dengan kualitas yang diberikan, terlalu mahal untuk rasa dan porsi yang biasa saja. sangat mengecewakan dari segi value for money. hal seperti ini tidak seharusnya terjadi di kafe;harga;makan siang sini harga makan minum kafe tidak sesuai kualitas beri terlalu mahal rasa porsi biasa sangat kecewa segi value for money tidak jadi kafe;25
harga french fries di kafe meine welt terlalu mahal untuk porsi yang sangat sedikit, cuma segenggam kentang goreng. belum lagi tidak ada program diskon atau reward untuk pelanggan setia yang sudah selalu berkunjung ke kafe meine welt, padahal saya sudah berkali-kali datang dan membeli. saya harap pihak kafe tidak mengabaikan keluhan pelanggan;harga;harga french fries kafe meine welt terlalu mahal porsi sangat sedikit cuma genggam kentang goreng belum tidak program diskon reward langgan setia selalu kunjung kafe meine welt padahal kali kali datang beli harap pihak kafe tidak abai keluh langgan;39
kemarin saat saya berkunjung, harga segelas kopi di kafe ini bisa buat makan siang lengkap di tempat lain. sangat tidak masuk akal untuk kualitas kopi yang disajikan, tidak ada yang istimewa dari racikan kopinya. saya sangat kecewa dengan pengalaman ini;harga;kemarin kunjung harga gelas kopi kafe buat makan siang lengkap tempat sangat tidak masuk akal kualitas kopi saji tidak istimewa racik kopi sangat kecewa alam;25
pesanan saya tidak kunjung datang meski sudah menunggu sangat lama di meja, saya terpaksa menghampiri kasir untuk menanyakan status pesanan. ini seharusnya tidak perlu terjadi. sangat tidak profesional menurut saya;pelayanan;pesan tidak kunjung datang meski tunggu sangat lama meja paksa hampir kasir tanya status pesan tidak perlu jadi sangat tidak profesional;21
harga chicken katsu naik signifikan tapi porsinya malah terasa semakin mengecil dari sebelumnya, ini sangat tidak fair bagi pelanggan. menaikkan harga harusnya diikuti perbaikan porsi. hal seperti ini tidak seharusnya terjadi di kafe;harga;harga chicken katsu naik signifikan porsi malah asa makin kecil belum sangat tidak fair langgan naik harga harus ikut baik porsi tidak jadi kafe;24
wifi di kafe mati total hari ini dan tidak ada penjelasan dari staf kapan akan diperbaiki. selain itu pencahayaan di kafe terlalu redup di beberapa sudut sehingga sulit untuk membaca menu atau mengerjakan tugas. semoga kritik saya ini bisa menjadi bahan evaluasi;suasana;wifi kafe mati total hari tidak jelas staf kapan baik cahaya kafe terlalu redup beberapa sudut sulit baca menu kerja tugas moga kritik jadi bahan evaluasi;26
harga menu di kafe meine welt tidak masuk akal untuk kafe yang ada di daerah kampus, seharusnya menyesuaikan dengan daya beli mahasiswa yang menjadi pelanggan utama kafe ini. saya tidak menyangka kafe ini bisa seburuk ini;harga;harga menu kafe meine welt tidak masuk akal kafe daerah kampus sesuai daya beli mahasiswa jadi langgan utama kafe tidak sangka kafe buruk;23
dengan harga segini ekspektasi saya jauh lebih tinggi dari apa yang saya dapatkan di kafe meine welt, mulai. tidak hanya itu, harga makanan di kafe meine welt terlalu mahal untuk porsi yang sangat kecil, tidak sebanding sama sekali. hal ini sangat mengganggu kenyamanan saya;harga;harga gin ekspektasi jauh lebih tinggi apa dapat kafe meine welt mulai tidak harga makan kafe meine welt terlalu mahal porsi sangat kecil tidak banding sama sekali sangat ganggu nyaman;30
thai tea yang saya pesan rasanya beda dari biasanya dan tidak seenak yang saya harapkan, terlalu encer dan kurang creamy. sepertinya bahan yang digunakan berbeda dari sebelumnya. hal ini sangat mengganggu kenyamanan saya;produk;thai tea pesan rasa beda biasa tidak enak harap terlalu encer kurang creamy seperti bahan guna beda belum sangat ganggu nyaman;21
harga menu di kafe naik tapi porsi makanan dan minumannya tetap sama tidak ada peningkatan, sangat kecewa sebagai pelanggan setia yang sudah sering berkunjung ke kafe meine welt. saya sangat kecewa dengan pengalaman ini;harga;harga menu kafe naik porsi makan minum tetap sama tidak tingkat sangat kecewa langgan setia sering kunjung kafe meine welt sangat kecewa alam;23
pembayaran menggunakan qris sering error di kasir meine welt, saya harus mencoba berkali-kali baru berhasil.. seharusnya sistem pembayaran digital dijaga agar selalu berfungsi baik.. ini bukan pertama kalinya saya mengalami hal seperti ini;pelayanan;bayar guna qris sering error kasir meine welt coba kali kali baru hasil sistem bayar digital jaga selalu fungsi baik bukan pertama kali alami;24
tempat sampah di sudut kafe sudah penuh sampai meluber dan mengeluarkan bau tidak sedap, sepertinya sudah lama tidak dibuang. seharusnya ada jadwal rutin untuk mengosongkan tempat sampah. hal seperti ini tidak seharusnya terjadi di kafe;suasana;tempat sampah sudut kafe penuh luber keluar bau tidak sedap seperti lama tidak buang jadwal rutin kosong tempat sampah tidak jadi kafe;22
saat saya makan siang di sini, harga selangit tapi rasa makanan dan minuman mengecewakan, sama sekali tidak sebanding.. mohon segera diperbaiki demi kenyamanan semua pelanggan. selain itu harga makanan dan minuman di kafe ini tidak sesuai dengan kualitas yang diberikan, terlalu mahal untuk rasa dan porsi yang biasa saja.;harga;makan siang sini harga langit rasa makan minum kecewa sama sekali tidak banding mohon segera baik nyaman semua langgan harga makan minum kafe tidak sesuai kualitas beri terlalu mahal rasa porsi biasa;32
waktu saya mau mengerjakan tugas di sini, makanan yang diantar ke meja saya sudah dingin padahal saya memesan makanan yang seharusnya disajikan hangat, sepertinya makanan sudah lama di counter sebelum diantar ke meja saya;produk;waktu mau kerja tugas sini makan antar meja dingin padahal mes makan saji hangat seperti makan lama counter antar meja;20
kafe meine welt terlalu berisik sehingga saya tidak bisa fokus mengerjakan tugas kuliah, sepertinya tidak ada pengelolaan kebisingan yang baik.. selain itu area parkir kafe sangat sempit dan susah untuk memarkirkan motor atau mobil, sering kali harus parkir jauh dari kafe.. saya jadi berpikir dua kali untuk datang lagi;suasana;kafe meine welt terlalu berisik tidak fokus kerja tugas kuliah seperti tidak kelola bising baik area parkir kafe sangat sempit susah parkir motor mobil sering kali parkir jauh kafe jadi pikir kali datang;33
kafe lain di sekitar sini sering mengadakan promo dan diskon menarik tapi meine welt tidak pernah sama sekali, ini membuat saya lebih memilih kafe lain yang lebih menghargai pelanggan. saya tidak menyangka kafe ini bisa seburuk ini;harga;kafe sini sering ada promo diskon tarik meine welt tidak pernah sama sekali buat lebih pilih kafe lebih harga langgan tidak sangka kafe buruk;24
kemahalan banget untuk ukuran kafe yang target pasarnya mahasiswa, harga satu porsi makanan saja sudah bisa untuk makan dua kali di tempat lain dengan rasa yang sama baiknya. ini membuat pengalaman makan saya jadi tidak menyenangkan;harga;mahal sangat ukur kafe target pasar mahasiswa harga satu porsi makan makan kali tempat rasa sama baik buat alam makan jadi tidak senang;23
saat saya makan siang di sini, harga kopi di sini mahal sekali padahal rasanya biasa saja tidak ada yang istimewa, mending beli kopi di tempat lain yang lebih murah tapi rasanya jauh lebih enak dan berkualitas. hal seperti ini tidak seharusnya terjadi di kafe;harga;makan siang sini harga kopi sini mahal sekali padahal rasa biasa tidak istimewa mending beli kopi tempat lebih murah rasa jauh lebih enak kualitas tidak jadi kafe;27
saat saya datang bersama teman, kafe lain di sekitar sini sering mengadakan promo dan diskon menarik tapi meine welt tidak pernah sama sekali, ini membuat saya lebih memilih kafe lain yang lebih menghargai pelanggan. hal seperti ini tidak seharusnya terjadi di kafe;harga;datang sama teman kafe sini sering ada promo diskon tarik meine welt tidak pernah sama sekali buat lebih pilih kafe lebih harga langgan tidak jadi kafe;26
tidak ada program diskon atau reward untuk pelanggan setia yang sudah selalu berkunjung ke kafe meine welt, padahal saya sudah berkali-kali datang dan membeli. sangat tidak dihargai;harga;tidak program diskon reward langgan setia selalu kunjung kafe meine welt padahal kali kali datang beli sangat tidak harga;19
dengan harga segini ekspektasi saya jauh lebih tinggi dari apa yang saya dapatkan di kafe meine welt, mulai dari rasa makanan porsi hingga pelayanan semuanya biasa saja dan standar. hal seperti ini tidak seharusnya terjadi di kafe;harga;harga gin ekspektasi jauh lebih tinggi apa dapat kafe meine welt mulai rasa makan porsi hingga layan semua biasa standar tidak jadi kafe;23
saat saya datang bersama teman, tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata. sangat sulit bagi mahasiswa yang ingin nongkrong tapi budget terbatas;harga;datang sama teman tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata sangat sulit mahasiswa nongkrong budget batas;21
harga menu di kafe meine welt tidak masuk akal untuk kafe yang ada di daerah kampus dan dengan harga segini ekspektasi saya jauh lebih tinggi dari apa yang saya dapatkan di kafe meine welt, mulai;harga;harga menu kafe meine welt tidak masuk akal kafe daerah kampus harga gin ekspektasi jauh lebih tinggi apa dapat kafe meine welt mulai;23
beberapa hari lalu saat berkunjung, mending ke kafe lain yang harganya lebih murah tapi makanan dan minumannya lebih enak serta pelayanannya. yang lebih parah lagi harga premium tapi kualitas pelayanan dan makanannya standar saja tidak ada yang istimewa, amat mengecewakan;harga;beberapa hari lalu kunjung mending kafe harga lebih murah makan minum lebih enak layan lebih parah harga premium kualitas layan makan standar tidak istimewa kecewa;25
sore tadi ketika saya mampir, kualitas makanan di kafe meine welt menurut saya menurun akhir-akhir ini dibandingkan beberapa bulan lalu, rasanya sudah tidak seenak dulu dan porsinya juga terasa semakin mengecil;produk;sore tadi mampir kualitas makan kafe meine welt turun akhir akhir banding beberapa bulan lalu rasa tidak enak dulu porsi asa makin kecil;23
sore tadi ketika saya mampir, harga menu di kafe naik tapi porsi makanan dan minumannya tetap sama tidak ada peningkatan.. saya terpaksa memberi keluhan karena sudah kesal. selain itu minuman seharga 25 ribu tapi rasanya seperti minuman harga 10 ribu, sangat tidak sebanding.;harga;sore tadi mampir harga menu kafe naik porsi makan minum tetap sama tidak tingkat paksa beri keluh kesal minum harga ribu rasa minum harga ribu sangat tidak banding;28
saat saya datang bersama teman, seharusnya ada diskon khusus untuk pelajar dan mahasiswa yang menunjukkan kartu identitas kampus, ini bisa menarik lebih banyak pelanggan mahasiswa dan meningkatkan loyalitas mereka. lebih parahnya lagi saya rasa perlu ada menu paket hemat untuk mahasiswa;harga;datang sama teman diskon khusus ajar mahasiswa tunjuk kartu identitas kampus tarik lebih banyak langgan mahasiswa tingkat loyalitas lebih parah rasa perlu menu paket hemat mahasiswa;26
lebih murah makan di tempat lain yang rasanya bahkan lebih enak dari kafe meine welt, sangat tidak worth it makan di sini dengan harga yang mahal tapi kualitas yang biasa saja. saya berharap ada perbaikan secepatnya;harga;lebih murah makan tempat rasa bahkan lebih enak kafe meine welt sangat tidak padan it makan sini harga mahal kualitas biasa harap baik cepat;24
terakhir kali saya berkunjung, lebih murah makan di tempat lain yang rasanya bahkan lebih enak dari kafe meine welt, sangat tidak worth it makan di sini dengan harga yang mahal tapi kualitas yang biasa saja;harga;akhir kali kunjung lebih murah makan tempat rasa bahkan lebih enak kafe meine welt sangat tidak padan it makan sini harga mahal kualitas biasa;24
terakhir kali saya berkunjung, padahal ini kunjungan pertama teman saya. minuman seharga 25 ribu tapi rasanya seperti minuman harga 10 ribu, sangat tidak sebanding. kualitas bahan bakunya sangat terasa murahan padahal harga jualnya premium sekali di sini;harga;akhir kali kunjung padahal kunjung pertama teman minum harga ribu rasa minum harga ribu sangat tidak banding kualitas bahan baku sangat asa murah padahal harga jual premium sekali sini;29
saya amat kecewa dengan kualitas pelayanan yang diberikan kafe ini, tidak ada keramahan dan profesionalisme dari staf. sangat disayangkan karena lokasi dan suasana kafenya bagus. saya tidak menyangka kafe ini bisa seburuk ini;pelayanan;kecewa kualitas layan beri kafe tidak ramah profesionalisme staf sangat sayang lokasi suasana kafe bagus tidak sangka kafe buruk;19
tidak rela bayar semahal ini untuk kualitas makanan dan pelayanan seperti yang saya terima hari ini,. masalah lainnya adalah harga makanan di kafe meine welt naik terus setiap bulan tanpa ada peningkatan kualitas sama sekali,. saya tidak menyangka kafe ini bisa seburuk ini;harga;tidak rela bayar mahal kualitas makan layan terima hari masalah lain harga makan kafe meine welt naik terus bulan tanpa tingkat kualitas sama sekali tidak sangka kafe buruk;28
bayar mahal untuk makan dan minum di sini tapi kualitasnya biasa aja dan tidak ada yang spesial. ditambah lagi harga makanan di kafe meine welt super mahal untuk porsi yang amat kecil, tidak sebanding sama sekali;harga;bayar mahal makan minum sini kualitas biasa tidak spesial tambah harga makan kafe meine welt super mahal porsi kecil tidak banding sama sekali;23
pas saya lagi istirahat siang di kafe, harga minuman di sini sangat tidak sebanding dengan rasa yang didapat, bayar mahal tapi rasa biasa saja. kafe lain dengan harga yang sama bisa memberikan minuman yang jauh lebih enak;harga;pas istirahat siang kafe harga minum sini sangat tidak banding rasa dapat bayar mahal rasa biasa kafe harga sama beri minum jauh lebih enak;24
minggu lalu waktu saya datang, saya sampai harus komplain langsung ke manajer. kasir salah menghitung kembalian uang saya, untung saya sadar dan langsung meminta kebelumannya. kejadian seperti ini seharusnya tidak terjadi di kafe yang sudah lama banget beroperasi;pelayanan;minggu lalu waktu datang komplain langsung manajer kasir salah hitung kembali uang untung sadar langsung minta belum jadi tidak jadi kafe lama sangat operasi;24
french fries yang saya pesan lembek dan tidak crispy sama sekali seperti kentang yang sudah digoreng dari tadi pagi lalu dihangatkan ulang, padahal saat itu saya membawa tamu penting. sangat tidak layak dijual seperti ini. hal seperti ini tidak seharusnya terjadi di kafe;produk;french fries pesan lembek tidak crispy sama sekali kentang goreng tadi pagi lalu hangat ulang padahal bawa tamu penting sangat tidak layak jual tidak jadi kafe;26
bayar mahal di kafe meine welt tapi AC saja sering mati dan suasana tidak nyaman, rasanya sangat tidak worth it. lebih menyebalkan lagi harga french fries di kafe meine welt terlalu mahal untuk porsi yang sangat sedikit, cuma segenggam kentang goreng;harga;bayar mahal kafe meine welt ac sering mati suasana tidak nyaman rasa sangat tidak padan it lebih sebal harga french fries kafe meine welt terlalu mahal porsi sangat sedikit cuma genggam kentang goreng;33
hari ini pengalaman saya sangat buruk karena tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata. belum lagi harga beef teriyaki di kafe ini sangat tidak worth it untuk kualitas daging dan porsi yang diberikan, dagingnya sedikit dan keras;harga;hari alam sangat buruk tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata belum harga beef teriyaki kafe sangat tidak padan it kualitas daging porsi beri daging sedikit keras;32
waktu saya mau mengerjakan tugas di sini, minuman seharga 25 ribu tapi rasanya seperti minuman harga 10 ribu, sangat tidak sebanding. bukan cuma itu, harga makanan di kafe meine welt amat overprice untuk porsi yang sangat kecil, tidak sebanding sama sekali. sangat tidak profesional menurut saya;harga;waktu mau kerja tugas sini minum harga ribu rasa minum harga ribu sangat tidak banding bukan cuma harga makan kafe meine welt mahal porsi sangat kecil tidak banding sama sekali sangat tidak profesional;33
harga premium tapi kualitas pelayanan dan makanannya standar saja tidak ada yang istimewa, sangat mengecewakan. ditambah lagi harga makanan di kafe meine welt naik terus setiap bulan tanpa ada peningkatan kualitas sama sekali,. saya harap pihak kafe tidak mengabaikan keluhan pelanggan;harga;harga premium kualitas layan makan standar tidak istimewa sangat kecewa tambah harga makan kafe meine welt naik terus bulan tanpa tingkat kualitas sama sekali harap pihak kafe tidak abai keluh langgan;31
malam ini saya tidak puas karena harga premium tapi kualitas pelayanan dan makanannya standar saja tidak ada yang istimewa, banget mengecewakan.. ditambah lagi harga minuman di sini sangat tidak sebanding dengan rasa yang didapat, bayar mahal tapi rasa biasa saja.. sangat tidak profesional menurut saya;harga;malam tidak puas harga premium kualitas layan makan standar tidak istimewa sangat kecewa tambah harga minum sini sangat tidak banding rasa dapat bayar mahal rasa biasa sangat tidak profesional;29
harga segelas kopi di kafe ini bisa buat makan siang lengkap di tempat lain. ditambah lagi tidak rela bayar semahal ini untuk kualitas makanan dan pelayanan seperti yang saya terima hari ini,. parahnya saya rasa perlu ada menu paket hemat untuk mahasiswa;harga;harga gelas kopi kafe buat makan siang lengkap tempat tambah tidak rela bayar mahal kualitas makan layan terima hari parah rasa perlu menu paket hemat mahasiswa;26
bayar mahal di kafe meine welt tapi AC saja sering mati dan suasana tidak nyaman, rasanya benar-benar tidak worth it. uang yang dikeluarkan tidak sebanding dengan pengalaman di kafe ini. saya terpaksa memberi keluhan karena sudah kesal;harga;bayar mahal kafe meine welt ac sering mati suasana tidak nyaman rasa benar benar tidak padan it uang keluar tidak banding alam kafe paksa beri keluh kesal;27
pagi ini waktu saya sarapan di kafe, kafe meine welt terlalu berisik sehingga saya tidak bisa fokus mengerjakan tugas kuliah, sepertinya tidak ada pengelolaan kebisingan yang baik. sangat mengganggu bagi yang butuh ketenangan. yang sangat disayangkan adalah semoga kedepannya suasana kafe bisa lebih nyaman lagi;suasana;pagi waktu sarap kafe kafe meine welt terlalu berisik tidak fokus kerja tugas kuliah seperti tidak kelola bising baik sangat ganggu butuh tenang sangat sayang moga depan suasana kafe lebih nyaman;31
harga makanan di kafe meine welt naik terus setiap bulan tanpa ada peningkatan kualitas sama sekali, pelanggan lama seperti saya sangat merasakan kenaikan harga yang terus menerus ini;harga;harga makan kafe meine welt naik terus bulan tanpa tingkat kualitas sama sekali langgan lama sangat rasa naik harga terus terus;21
bayar mahal untuk makan dan minum di sini tapi kualitasnya biasa aja dan tidak ada yang spesial, saya sampai tidak mau kembali lagi ke sini. mending makan di warung makan biasa yang harganya setengahnya tapi rasanya lebih enak. saya berharap ada perbaikan secepatnya;harga;bayar mahal makan minum sini kualitas biasa tidak spesial tidak mau sini mending makan warung makan biasa harga tengah rasa lebih enak harap baik cepat;25
saya melihat banyak lalat berkeliaran di area makan kafe yang amat mengganggu dan menjijikkan, ini menunjukkan belumnya kontrol hama di kafe. sangat tidak higienis untuk tempat makan. bukan hanya itu saja, tolong perbaiki fasilitas yang sudah rusak di kafe ini;suasana;lihat banyak lalat liar area makan kafe ganggu jijik tunjuk belum kontrol hama kafe sangat tidak higienis tempat makan bukan baik fasilitas rusak kafe;24
